,Tweets,len,ID,Date,Source,Likes,RTs,SA
17,"स्नेहमयी शुभकामनाओं और प्रेरणादायी विचारों के लिए आपका बहुत-बहुत धन्यवाद।
@sonal_mansingh https://t.co/lbBZTHOa9O",113,1290336787118714883,2020-08-03 17:20:38,Twitter for iPhone,35881,3555,0
18,"Thank you @MangteC! I consider it an honour to have got the opportunity to work towards empowering our Nari Shakti. 

I am also particularly happy to see more women pursuing sports and excelling in them. It is a great sign. https://t.co/4xYlUtYrus",247,1290305986461229057,2020-08-03 15:18:14,Twitter for iPhone,24656,2646,1
19,"शुभकामना संदेश के लिए @sinha_arunima जी आपका बहुत-बहुत धन्यवाद। आपने अपने हौसले और जज्बे से जिस प्रकार देश का नाम रोशन किया है, वह हर किसी के लिए प्रेरणादायी है। https://t.co/sgEeomwB3I",185,1290305842873380864,2020-08-03 15:17:40,Twitter for iPhone,14924,1874,0
20,"आपका बहुत-बहुत आभार।
@realshooterdadi https://t.co/eILto1rMHn",61,1290305731053248512,2020-08-03 15:17:13,Twitter for iPhone,22803,2292,0
21,Thank you @kmmalleswari. Your Raksha Bandhan wishes are extremely special. https://t.co/x5QZ7ME0Ll,98,1290305608646709248,2020-08-03 15:16:44,Twitter for iPhone,22834,2268,1
22,Humbled by your Raksha Bandhan wishes @NSaina. Generations of sportspersons are inspired by your hardwork and success! https://t.co/mOWLsCkfL1,142,1290305424357355530,2020-08-03 15:16:00,Twitter for iPhone,28790,2859,1
23,Thank you @HimaDas8! Happy to receive your Raksha Bandhan greetings. https://t.co/fwBkc2n6nG,92,1290305020697640960,2020-08-03 15:14:24,Twitter for iPhone,67406,5130,1
24,Thank you @imranirampal. https://t.co/6m3TnQp6iz,48,1290304827138781185,2020-08-03 15:13:38,Twitter for iPhone,22467,1997,0
25,"Thank you for the wishes, @PTUshaOfficial. Your efforts to mentor young sporting talent is commendable. Efforts like yours are vital for Indian sportspersons to shine at the world stage. https://t.co/UD6PphSvQP",210,1290304692723957760,2020-08-03 15:13:06,Twitter for iPhone,19648,2159,1
26,"Honoured to receive the blessings from Rajyogini Dadi Hirdaya Mohini Ji, @DadiRatanMohini Ji and the  
@brahmakumarishq family. 

The blessings will remain etched in my memory and motivate me to work for the development of our nation. https://t.co/6wxu4n6yln",258,1290263853440200704,2020-08-03 12:30:49,Twitter Web App,18535,2384,0
27,"Thank you for the Raksha Bandhan greetings @Pvsindhu1.

You have already given so many gifts to the nation and I am sure you will continue to excel in the times to come. Every Indian is proud of you! https://t.co/5q1IgltRVj",223,1290262731413549057,2020-08-03 12:26:21,Twitter Web App,40720,4483,1
28,"Gratitude for the Raksha Bandhan greetings, @anjubobbygeorg1. India is proud of your achievements and contribution to sports. https://t.co/WgKgQtZa9P",149,1290262439812972546,2020-08-03 12:25:12,Twitter Web App,16556,2075,1
29,Thank you @manikabatra_TT. Your wishes are a source of great strength. https://t.co/ov22e8BvV7,94,1290262248208781312,2020-08-03 12:24:26,Twitter Web App,18952,2162,1
30,"Thank you for the wishes @DuteeChand. Good luck to you for your efforts to excel in sports.

For me, the biggest laurel is representing the nation with diligence and tenacity. Every sportsperson does that, which is why I am proud of every player who represents India. https://t.co/6CD3A4DVQe",291,1290262030692134912,2020-08-03 12:23:34,Twitter Web App,16816,2067,1
31,"बहुत-बहुत आभार @maliniawasthi जी। देश की हमारी करोड़ों बहनों की यही वह भावना है, जो भारतवर्ष को समृद्ध, सुरक्षित और सशक्त बनाने के लिए प्रेरित करती है। https://t.co/SVEvpMBlSo",175,1290261346013995009,2020-08-03 12:20:51,Twitter Web App,26778,3436,0
32,"Thank you for the wishes. 

Your respect towards our brave soldiers and Corona warriors is laudatory. https://t.co/D93MgY0v7A",125,1290261155772952576,2020-08-03 12:20:06,Twitter Web App,12411,1642,1
33,बहुत-बहुत धन्यवाद। https://t.co/btIEMMhhyF,42,1290259516521508866,2020-08-03 12:13:35,Twitter Web App,20235,2162,0
34,Thank you for the Raksha Bandhan greetings! Lovely Rakhi too. https://t.co/YHyOU35GoX,85,1290259002324971520,2020-08-03 12:11:32,Twitter Web App,25044,2249,1
35,Thank you for the wishes!  :) https://t.co/zOXrfSeZFA,53,1290258877737394176,2020-08-03 12:11:02,Twitter Web App,55536,4371,0
36,अद्य संस्कृतदिवसे ये संस्कृतभाषां पठन्ति तथा च जनेषु तस्याः प्रचारार्थं प्रयासं कुर्वन्ति तान् सर्वान् प्रणमामि। संस्कृतभाषा सुन्दरी भाषा अस्ति किञ्च सहस्रशः वर्षेभ्यः अस्माकं श्रेष्ठायाः संस्कृत्याः भागभूता अस्ति। आगामिषु वर्षेषु संस्कृतभाषायाः लोकप्रियता नितराम् अभिवर्धताम्।,277,1290189692957126658,2020-08-03 07:36:08,Twitter Web App,89445,13597,0
37,"लता दीदी, रक्षा बंधन के इस शुभ अवसर पर आपका यह भावपूर्ण संदेश असीम प्रेरणा और ऊर्जा देने वाला है। करोड़ों माताओं-बहनों के आशीर्वाद से हमारा देश नित नई ऊंचाइयों को छुएगा, नई-नई सफलताएं प्राप्त करेगा। आप स्वस्थ रहें और दीर्घायु हों, ईश्वर से मेरी यही प्रार्थना है। @mangeshkarlata https://t.co/pDHg0y3fDT",302,1290164706808705025,2020-08-03 05:56:50,Twitter for iPhone,104178,14079,0
38,"Respected @Amritanandamayi Ji, I am most humbled by your special Raksha Bandhan greetings. It is my honour and privilege to work for our great nation.

Blessings from you, and from India’s Nari Shakti, give me great strength. They are also vital for India’s growth and progress. https://t.co/FoLQdjrxEi",302,1290154628667957248,2020-08-03 05:16:48,Twitter for iPhone,34290,5087,1
39,रक्षा बंधन के पावन पर्व पर समस्त देशवासियों को बहुत-बहुत शुभकामनाएं।,68,1290111771471015936,2020-08-03 02:26:30,Twitter for iPhone,279505,29457,0
40,"Thank you @PresidentRuvi! Greetings to you as well as to the wonderful people of Israel. 

May the India-Israel friendship grow even stronger in the times to come. https://t.co/MQzkqpQk8e",187,1289950861632901121,2020-08-02 15:47:06,Twitter for iPhone,81915,9623,1
41,उत्तर प्रदेश सरकार की मंत्री श्रीमती कमला रानी वरुण जी के निधन से बहुत दुख हुआ। उनका पूरा जीवन समाजसेवा के प्रति समर्पित रहा। उन्होंने राज्य में भाजपा को मजबूत बनाने में महत्वपूर्ण भूमिका निभाई। शोक की इस घड़ी में मेरी संवेदनाएं उनके परिजनों और समर्थकों के साथ हैं।ओम शांति!,274,1289859806975496192,2020-08-02 09:45:17,Twitter for iPhone,82396,7626,0
42,"Best wishes to CM of Gujarat, Shri @vijayrupanibjp on his birthday. He has been making an effective contribution to Gujarat’s progress. Praying for his long and healthy life.",174,1289762022964391936,2020-08-02 03:16:43,Twitter for iPhone,68637,6127,1
43,"Best wishes to generations of footballers, members and of course supporters on the centenary of @eastbengalfc. This is a milestone for Indian sport, and for the football traditions and sports-loving culture of West Bengal. May the East Bengal Mashal forever illuminate the Maidan!",280,1289600050465656833,2020-08-01 16:33:06,Twitter for iPhone,35810,4445,1
44,The New Education Policy celebrates both local and global. Here is how... https://t.co/gCwvJ1k4dm,97,1289597462378930176,2020-08-01 16:22:49,Twitter Media Studio,39483,6605,1
45,"Focus on multi-disciplinary aspects, flexibility and more...some salient features of the National Education Policy, 2020. https://t.co/yX1yaLMQ3k",145,1289597344300883969,2020-08-01 16:22:21,Twitter Media Studio,21102,3748,1
46,"The National Education Policy will make our education:

More fruitful.
 
Broad-based.
 
One that guides our youth to their natural passions. https://t.co/Duc3fZi7WK",164,1289597022631333888,2020-08-01 16:21:04,Twitter Media Studio,17495,3278,1
47,"The National Education Policy, 2020 reflects India’s aspirations and will contribute to improving the education sector. https://t.co/WKiR3yiNr1",143,1289596140363689984,2020-08-01 16:17:34,Twitter Media Studio,28216,4988,0
48,"The Smart India Hackathon offered yet another glimpse of India’s talented Yuva Shakti. It is these youngsters who will take India to newer heights. Happy to have heard their ideas on a wide range of subjects including agriculture, water conservation, IT and more.",263,1289595826432614400,2020-08-01 16:16:19,Twitter for iPhone,43432,5428,1
49,"Amar Singh Ji  was an energetic public figure. In the last few decades, he witnessed some of the major political developments from close quarters. He was known for his friendships across many spheres of life. Saddened by his demise. Condolences to his friends &amp; family. Om Shanti.",284,1289539904809119746,2020-08-01 12:34:06,Twitter for iPhone,63711,7033,1
50,Interacting with our bright young minds at the Smart India Hackathon. https://t.co/QTx5haooWN,93,1289530779366600705,2020-08-01 11:57:50,Periscope,32987,6158,1
51,"India bows to Lokmanya Tilak on his 100th Punya Tithi. 

His intellect, courage, sense of justice and idea of Swaraj continue to inspire. 

Here are some facets of Lokmanya Tilak’s life... https://t.co/9RzKkKxkpP",212,1289399888065605632,2020-08-01 03:17:43,Twitter Media Studio,59010,11355,0
52,"Eid Mubarak!

Greetings on Eid al-Adha. May this day inspire us to create a just, harmonious and inclusive society. May the spirit of brotherhood and compassion be furthered.",174,1289398232510894081,2020-08-01 03:11:09,Twitter for iPhone,164658,15586,0
53,"The Smart India Hackathon has emerged as a vibrant forum to ideate and innovate. Naturally, this time our youth would be focussing on the post-COVID world in their innovations, along with ways to create an Aatmanirbhar Bharat. 

https://t.co/4c8zXNx7mT",252,1289191469710942211,2020-07-31 13:29:33,Twitter Web App,19494,3220,1
54,"Young India is filled with talent! The grand finale of the Smart India Hackathon 2020 showcases this very spirit of innovation and excellence. On 1st August at 4:30 PM, looking forward to interacting with the finalists of the Hackathon and knowing more about their works.",271,1289191161341460481,2020-07-31 13:28:19,Twitter Web App,65702,8457,1
55,Padma Shri Ren Sonam Tshering Lepcha Ji was a a multi-faceted personality. He made outstanding efforts to popularise the great Lepcha culture. His works are respected across generations. Anguished by his demise. Condolences to his family and admirers. Om Shanti.,262,1288785628549672960,2020-07-30 10:36:52,Twitter Web App,58377,6510,1
56,Inaugurating the Supreme Court Building of Mauritius with PM @PKJugnauth. https://t.co/YhxXSsmoOg,97,1288727796764667905,2020-07-30 06:47:04,Periscope,36532,6394,0
57,"Another example of India-Mauritius friendship. 

At 12 noon on 30th July,  @MauritiusPM @PKJugnauth and I would jointly inaugurate, via video conferencing, the new Supreme Court Building of Mauritius. India is honoured to have assisted in this key project. https://t.co/kzHQLj7h9e",280,1288526836884881408,2020-07-29 17:28:32,Twitter for iPhone,36652,4935,1
58,"Had an extensive interaction with stakeholders from banks and NBFCs to deliberate on the roadmap for economic growth, helping entrepreneurs and a range of other aspects. https://t.co/0yX7gWfG07",193,1288526312353574912,2020-07-29 17:26:27,Twitter for iPhone,42410,5523,1
59,"Framing of NEP 2020 will be remembered as a shining example of participative governance. I thank all those who have worked hard in the formulation of the NEP 2020. 

May education brighten our nation and lead it to prosperity.",226,1288467887418531843,2020-07-29 13:34:17,Twitter Web App,23090,4464,-1
60,"Aspects such as widening the availability of scholarships, strengthening infrastructure for Open and Distance Learning, Online Education and increasing the usage of technology have received great attention in the NEP. These are vital reforms for the education sector.",267,1288467885665337346,2020-07-29 13:34:17,Twitter Web App,21324,3891,1
61,"Respecting the spirit ‘Ek Bharat Shreshtha Bharat’, the NEP 2020 includes systems to promote Indian languages, including Sanskrit. Many foreign languages will also be offered at the secondary level. 

Indian Sign Language (ISL) will be standardised across the country.",268,1288467883786416136,2020-07-29 13:34:16,Twitter Web App,15662,3737,1
62,"UG education would also include multiple entry and exit points with appropriate certification. An Academic Bank of Credit will be set up to enable digital storage of credits earned from different HEIs, which can also be transferred and counted as a part of the final degree.",274,1288467881886244867,2020-07-29 13:34:16,Twitter Web App,10113,2350,1
63,"Thanks to NEP 2020, the Indian Higher Education sector will have a holistic and multi-disciplinary approach. UG education will offer flexible curricula, creative combinations of subjects, integration of vocational education.",224,1288467880153985024,2020-07-29 13:34:15,Twitter Web App,9803,2283,1
64,NEP 2020 has provisions to set up a Gender Inclusion Fund and also Special Education Zones. These will specially focus on making education more inclusive. NEP 2020 would improve the education infrastructure and opportunities for persons with disabilities.,255,1288466542691196932,2020-07-29 13:28:56,Twitter Web App,8246,2002,1
65,Replacing 10+2 structure of school curricula with a 5+3+3+4 curricular structure will benefit the younger children. It will also be in tune with global best practices for development of mental faculties of a child. There are reforms in school curricula and pedagogy too.,270,1288466540824690694,2020-07-29 13:28:56,Twitter Web App,16724,3879,1
66,"NEP 2020 gives utmost importance towards ensuring universal access to school education. There is emphasis on aspects such as better infrastructure, innovative education centres to bring back dropouts into the mainstream, facilitating multiple pathways to learning among others.",277,1288466538916229122,2020-07-29 13:28:56,Twitter Web App,7945,1895,1
67,"NEP 2020 is based on the pillars of:

Access.

Equity.

Quality. 

Affordability.

Accountability.

In this era of knowledge, where learning, research and innovation are important, the NEP will transform India into a vibrant knowledge hub.",239,1288465843529986050,2020-07-29 13:26:10,Twitter Web App,11962,3189,1
68,"I wholeheartedly welcome the approval of the National Education Policy 2020! This was a long due and much awaited reform in the education sector, which will transform millions of lives in the times to come! #NewEducationPolicy

https://t.co/N3PXpeuesG",251,1288465841713844225,2020-07-29 13:26:09,Twitter Web App,75046,15203,1
69,"राष्ट्ररक्षासमं पुण्यं,

राष्ट्ररक्षासमं व्रतम्,

राष्ट्ररक्षासमं यज्ञो,

दृष्टो नैव च नैव च।।

नभः स्पृशं दीप्तम्...
स्वागतम्! #RafaleInIndia https://t.co/lSrNoJYqZO",166,1288425006209228800,2020-07-29 10:43:53,Twitter Media Studio,252857,58710,0
70,Launching high-throughput COVID-19 testing facilities. https://t.co/vYSPLHebcD,78,1287715746194235394,2020-07-27 11:45:33,Periscope,48881,8423,1
71,Best wishes to Maharashtra CM Shri Uddhav Thackeray Ji on his birthday. I pray for Uddhav Ji’s long and healthy life. @OfficeofUT,129,1287600310689525760,2020-07-27 04:06:51,Twitter for iPhone,94202,6598,1
72,"Greetings to all @crpfindia personnel on the 82nd Raising Day of this outstanding Force. CRPF is at the forefront of keeping our nation safe. The courage and professionalism of this force are widely admired. 

May the CRPF achieve even greater heights in the coming years.",272,1287599798875389952,2020-07-27 04:04:49,Twitter for iPhone,44586,5771,1
73,"At 4:30 PM on Monday, 27th July, high-throughput COVID-19 testing facilities will be launched. 

These high-throughput testing facilities being set up in Noida, Mumbai and Kolkata will help in further ramping up our testing capacity. 

https://t.co/nvxM0MToua",259,1287360474476982273,2020-07-26 12:13:49,Twitter for iPhone,34767,5813,1
74,"Youngsters like Kaniga and her sister personify the spirit of New India, where success is not merely determined by the family one is born in, the school/ college one studied, the big city one lives in. 

Hardwork and perseverance gives results. India is changing. #MannKiBaat https://t.co/orEEFzPdfA",299,1287328311748616192,2020-07-26 10:06:01,Twitter Media Studio,23094,4334,1
75,"Mathematics, his mischievous brother and writing make Usman happy.

All mathematics lovers like Usman should consider Vedic Maths classes…I am sure it would be a great learning experience. #MannKiBaat https://t.co/JOY9bfPaXm",224,1287327317333688325,2020-07-26 10:02:04,Twitter Media Studio,31503,5087,1
76,"Vinayak’s secret to success is hardwork and proper time management. 

He is also a very lucky person because he is not on social media yet. :) #MannKiBaat https://t.co/hseiHiULQy",178,1287326799127404544,2020-07-26 10:00:00,Twitter Media Studio,15257,2883,1
77,"Meet Kritika from Haryana…

She aspires to become a doctor. Apart from studies, she enjoys basketball.

She is also very proud of her Mother. #MannKiBaat https://t.co/yhBNeQkfor",177,1287326563373944834,2020-07-26 09:59:04,Twitter Media Studio,15429,2937,1
78,"A special oath-taking in Suriname, thousands of miles away from India…

India congratulates President Chan Santokhi and wishes him the very best for his Presidential term. We are very proud of the long-standing and deep-rooted cultural linkages with Suriname. #MannKiBaat https://t.co/t6PS7iKC5o",295,1287326220871282688,2020-07-26 09:57:43,Twitter Media Studio,12885,2771,1
79,"India will always remember how our rural areas have shown remarkable fighting spirit in the battle against COVID-19.

Here are some efforts from Jammu and Kashmir that are outstanding. #MannKiBaat https://t.co/ocr1tMvrRc",220,1287325585971146754,2020-07-26 09:55:11,Twitter Media Studio,12757,2564,1
80,"Madhubani art themed masks.

Bamboo products from the Northeast. 

Lemongrass farming in Jharkhand.

Fruit cultivation in Kutch and Ladakh.

India is full of exceptional people doing exceptional things. #MannKiBaat https://t.co/EQIi6H9L1j",238,1287325381012332545,2020-07-26 09:54:22,Twitter Media Studio,11096,2575,1
81,"There is no question of complacency or carelessness when it comes to the COVID-19 global pandemic. 

Wear your mask.

Follow social distancing.

Remember ‘Do Gaj Ki Doori.’ #MannKiBaat https://t.co/7hOBVJOdAL",208,1287324915272564736,2020-07-26 09:52:31,Twitter Media Studio,11862,2504,1
82,"Years ago, Mahatma Gandhi gave us a Talisman.

In 1999 after Kargil, beloved Atal Ji gave us a Mantra which is extremely relevant today. #MannKiBaat https://t.co/vInbxQBT7C",172,1287324492008628224,2020-07-26 09:50:50,Twitter Media Studio,15155,3044,1
83,"We saw in Kargil that while India always stands for harmony, we had also given a befitting reply to those who vitiated the spirit of peace.

I thank all those who have highlighted #CourageInKargil…the valour of our forces which makes us proud. #MannKiBaat https://t.co/rYRh54mnRa",279,1287323987362504704,2020-07-26 09:48:50,Twitter Media Studio,19369,3657,1
84,"Today, as we mark #6YearsofMyGov, I appreciate all those across India who have enriched @mygovindia by their active participation. 

MyGov has emerged as a noteworthy forum that celebrates participative governance. 

Do keep contributing! https://t.co/Ef3Ai8LLra",262,1287275873171722240,2020-07-26 06:37:39,Twitter Web App,22330,4019,-1
85,Tune in to this month’s #MannKiBaat. https://t.co/0PPisEWaHG,60,1287258927533395969,2020-07-26 05:30:19,Periscope,25683,5756,0
86,India remains eternally grateful to our soldiers for their bravery. #CourageInKargil https://t.co/BCyl5ZMvzx,108,1287250977335078912,2020-07-26 04:58:43,Twitter for iPhone,51960,8657,0
87,"On Kargil Vijay Diwas, we remember the courage and determination of our armed forces, who steadfastly protected our nation in 1999. Their valour continues to inspire generations. 

Will speak more about this during today’s #MannKiBaat, which begins shortly. #CourageInKargil",274,1287246658669932546,2020-07-26 04:41:33,Twitter for iPhone,120639,18184,1
88,"Do tune in tomorrow, 26th July, at 11 AM. #MannKiBaat. https://t.co/Px52Xrm2bY",78,1287060786695696384,2020-07-25 16:22:58,Twitter for iPhone,53407,7473,0
89,"Reviewed progress of the PM-SVANidhi Scheme, which will have a transformative impact on the lives of street vendors. https://t.co/bQbJ2GfVVt",140,1287055369819185153,2020-07-25 16:01:27,Twitter for iPhone,21601,3492,0
90,Birthday greetings to my Cabinet colleague @HarsimratBadal_ Ji. Her efforts to strengthen the vital food processing sector are admirable. She is also passionate about the progress of our hardworking farmers. I pray for her long and healthy life.,245,1286864596448370694,2020-07-25 03:23:23,Twitter for iPhone,58156,5197,1
91,"Met @BJP4Gujarat President Shri @CRPaatil Ji. Hailing from a humble background, he rose the ranks in the Party and distinguished himself as an outstanding Karyakarta. His work as MP has also been appreciated. Am sure under his leadership the Gujarat BJP will scale newer heights. https://t.co/bzCoTZL6ZP",303,1286344650299768834,2020-07-23 16:57:18,Twitter for iPhone,63081,6581,1
92,We are leaving no stone unturned to make the Northeast our growth engine. https://t.co/Dk5qpsQ8gq,97,1286304197357404163,2020-07-23 14:16:33,Twitter Media Studio,59974,8017,0
93,Furthering peace and prosperity through connectivity. https://t.co/PNPtP5v90L,77,1286304099219070976,2020-07-23 14:16:10,Twitter Media Studio,23688,3866,0
94,"‘Ease of Living’ is the right of every citizen.

That is why, furthering it has been the priority of our Government for the last six years. https://t.co/n7Oen1Obgo",163,1286304042671472641,2020-07-23 14:15:56,Twitter Media Studio,20699,3608,1
95,"Today is a special day for the Nari Shakti of Manipur. 

Here is why… https://t.co/NcTbobiynU",93,1286303970093219844,2020-07-23 14:15:39,Twitter Media Studio,24961,3950,1
96,Laying the foundation stone of Manipur Water Supply Project. https://t.co/ndTe5zvhe9,84,1286170623534723072,2020-07-23 05:25:47,Periscope,33175,5490,0
97,भारत मां के दो वीर सपूत लोकमान्य बाल गंगाधर तिलक और चंद्रशेखर आजाद को उनकी जन्म-जयंती पर शत-शत नमन।,99,1286129436329295872,2020-07-23 02:42:07,Twitter for iPhone,220063,27738,0
98,"India and USA are natural partners. 

The US-India friendship has scaled many heights in the past. 
 
Now it is time our partnership plays an important role in helping the world bounce back faster after the pandemic! https://t.co/POqDjQcbGi",240,1285984600821338112,2020-07-22 17:06:35,Twitter Media Studio,33823,5896,1
99,NOW is the best time to invest in India. https://t.co/RHe0F8U5Ut,64,1285984425969192960,2020-07-22 17:05:54,Twitter Media Studio,75271,12055,1
100,"There is global optimism towards India because of:

India’s culture of openness. 

The many opportunities and options to invest. 

India awaits you! https://t.co/LwS9hK2TSA",172,1285984322449600512,2020-07-22 17:05:29,Twitter Media Studio,19472,3776,1
101,Global economic resilience will be shaped by stronger domestic economic capacities. India is doing so by working towards an Aatmanirbhar Bharat. https://t.co/ZZ1GFcy9E9,168,1285984205298515968,2020-07-22 17:05:01,Twitter Media Studio,25146,4283,1
102,Addressing the #IndiaIdeasSummit organised by @USIBC. https://t.co/3VHFdUzmGq,77,1285960467660156928,2020-07-22 15:30:42,Periscope,25667,5391,0
103,"At 10:30 AM tomorrow, will join, via video conferencing, the programme to lay the foundation stone for the Manipur Water Supply Project. This project will boost our mission of 'Har Ghar Jal’ and greatly benefit the people of Manipur. 

https://t.co/akLpCzaaMJ",259,1285936196808404993,2020-07-22 13:54:15,Twitter Web App,27676,4318,1
104,"Urged MPs to keep themselves updated with latest policy issues. Also emphasised on being effective on the floor of the House as well as in the field, among people. 

Reiterated the need for constant people connect and embracing latest technology as well as social media.",270,1285915343060271104,2020-07-22 12:31:23,Twitter Web App,14071,2348,1
105,Had an excellent interaction with the newly elected @BJP4India Rajya Sabha MPs. It was wonderful to hear their views and passion towards public service. This is a group of MPs who are diverse and will certainly make effective contributions to Parliamentary proceedings. https://t.co/IEEAUUrxHp,293,1285915339453165569,2020-07-22 12:31:22,Twitter Web App,39631,4971,1
106,Congratulations to our nuclear scientists for achieving criticality of Kakrapar Atomic Power Plant-3! This indigenously designed 700 MWe KAPP-3 reactor is a shining example of Make in India. And a trailblazer for many such future achievements!,243,1285798189405138946,2020-07-22 04:45:51,Twitter for iPhone,160803,23749,1
107,"Looking forward to addressing the #IndiaIdeasSummit, organised by @USIBC today at 9 PM. Will be sharing my views on ‘Building a Better Future.’ Do watch. https://t.co/70XBBZRghL",177,1285782555191435265,2020-07-22 03:43:44,Twitter for iPhone,38481,5754,1
